model,fairness_file,edge_fp32_file,edge_qdyn_file,acc,f1,balanced_acc,auc_roc,dp_gap_abs,eo_max_gap,cf_prob_gap_mean_abs,gate_mean,focus_mean,latency_ms_mean_fp32,latency_ms_p95_fp32,throughput_fps_fp32,rss_mb_before_fp32,rss_mb_after_fp32,latency_ms_mean_qdyn,latency_ms_p95_qdyn,throughput_fps_qdyn,rss_mb_before_qdyn,rss_mb_after_qdyn
CGF_best,fairness_current_multimodal_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json,edge_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best_fp32.json,edge_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best_qdyn.json,0.7785,0.6873676781933663,0.7590386700556192,0.8501935917190155,0.011012158383043036,0.0050406674014670805,0.03763347226332003,0.19657477790489794,0.1723086365237832,4.359286999097094,5.361275004543131,229.3953117120122,514.74609375,504.3984375,4.698180000050343,5.415825007366947,212.84837958300548,518.01953125,509.1328125
CGF_pruned30,fairness_current_multimodal_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_pruned30.json,edge_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_pruned30_fp32.json,edge_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_pruned30_qdyn.json,0.7785,0.6600153491941673,0.740397236159948,0.8315038696394628,0.0054150613520249635,0.003490259740259738,0.036894466824632995,0.2065922530842945,0.1723086365237832,4.1606715003581485,4.663325008004901,240.3458191577779,505.140625,503.32421875,4.527812498854473,5.080039994936669,220.85720207119837,510.93359375,508.41796875
CGF_pruned30_repaired,fairness_current_multimodal_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_pruned30_repaired.json,edge_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_pruned30_repaired_fp32.json,edge_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_pruned30_repaired_qdyn.json,0.777,0.6749271137026238,0.7500340212204619,0.8458070491968797,0.027385367532036298,0.0275811688311689,0.03349412164316913,0.19360391631210222,0.16577439944446087,4.34792449894303,5.333019993122434,229.99479412374745,515.07421875,505.3125,4.52083600066544,5.178464992059162,221.19802617321352,511.2578125,508.76953125
CONCAT_best,fairness_current_multimodal_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json,edge_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best_fp32.json,edge_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best_qdyn.json,0.7345,0.608695652173913,0.7009392051764933,0.7750549826821014,0.014172777864461417,0.010892857142857149,0.032805414375771204,,,4.1529980001359945,5.177254998125136,240.7899064644996,504.796875,502.05859375,4.347774999841931,5.41161001092405,230.0027025401168,507.609375,505.23828125
